case,variant,trial,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
euclidean-128,current,1,load,1000,6.357,6356.542,6356.542,6356.542,157318.2,14904,2713642,8212798,878359,NaN
euclidean-128,current,1,query_reloaded,100,12.916,129.542,134.666,136.750,7742.3,100,0,8110299,0,1.00000
euclidean-128,current,1,remove,199,11.317,45.083,122.333,178.959,17583.8,52037,-574216,4903744,0,NaN
euclidean-128,current,1,query_deleted,100,10.873,108.750,111.166,112.375,9196.8,100,0,3882048,0,1.00000
euclidean-128,current,1,reinsert,199,103.462,488.375,877.416,1137.708,1923.4,57019,549664,4523224,0,NaN
euclidean-128,current,1,query_reinserted,100,14.073,139.666,149.834,153.709,7105.8,100,0,4431712,0,0.99750
euclidean-128,current,2,distance_mixed,10000,2.310,0.208,0.209,0.209,4329551.6,0,0,824093,0,NaN
euclidean-128,current,2,build,1000,507.508,505.917,909.958,1120.208,1970.4,278367,3744432,4520933,0,NaN
euclidean-128,current,2,query,100,13.190,130.833,139.541,144.083,7581.4,100,0,4470309,0,1.00000
euclidean-128,current,2,flush,1000,1.408,1408.417,1408.417,1408.417,710017.0,2207,925985,5438711,878359,NaN
euclidean-128,current,2,load,1000,6.375,6374.917,6374.917,6374.917,156864.8,14904,2713642,8212798,878359,NaN
euclidean-128,current,2,query_reloaded,100,13.557,133.791,153.542,171.375,7376.0,100,0,8110299,0,1.00000
euclidean-128,current,2,remove,199,11.865,46.166,131.834,198.417,16772.4,52037,-574216,4903744,0,NaN
euclidean-128,current,2,query_deleted,100,10.813,107.625,112.167,118.042,9248.5,100,0,3882048,0,1.00000
euclidean-128,current,2,reinsert,199,106.784,507.667,899.750,1076.208,1863.6,57019,549664,4523224,0,NaN
euclidean-128,current,2,query_reinserted,100,13.925,138.917,142.875,145.000,7181.2,100,0,4431712,0,0.99750
