case,variant,trial,maxrss_raw,rss_platform,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
io-1,current,0,14761984,darwin,query_deleted,20,2.250,106.917,139.458,139.458,8888.1,20,0,3313827,0,0.98000
io-1,current,0,14761984,darwin,reinsert,199,146.731,691.916,1255.584,1414.291,1356.2,74766,552928,4633187,0,NaN
io-1,current,0,14761984,darwin,query_reinserted,20,2.690,126.042,166.000,166.000,7435.1,20,0,3866755,0,1.00000
io-8,current,0,14188544,darwin,distance_mixed,10000,2.904,0.208,0.209,0.541,3443526.2,0,0,780237,0,NaN
io-8,current,0,14188544,darwin,build,1000,688.097,675.292,1323.792,1576.583,1453.3,397903,3236744,4569981,0,NaN
io-8,current,0,14188544,darwin,query,20,3.498,170.917,220.708,220.708,5718.1,20,0,3917485,0,0.98000
io-8,current,0,14188544,darwin,flush,1000,287.556,287556.125,287556.125,287556.125,3477.6,2199,925963,4878383,878311,NaN
io-8,current,0,14188544,darwin,load,1000,83.821,83821.042,83821.042,83821.042,11930.2,21017,2713674,7711211,878311,NaN
io-8,current,0,14188544,darwin,query_reloaded,20,2.968,119.959,264.166,264.166,6739.1,20,0,7557488,0,0.98000
io-8,current,0,14188544,darwin,remove,199,16.894,58.958,192.500,329.625,11779.4,51975,-589616,4388691,0,NaN
io-8,current,0,14188544,darwin,query_deleted,20,2.648,102.750,191.208,191.208,7551.8,20,0,3313827,0,0.98000
io-8,current,0,14188544,darwin,reinsert,199,155.150,715.083,1433.625,1604.458,1282.6,74766,552928,4633187,0,NaN
io-8,current,0,14188544,darwin,query_reinserted,20,3.297,134.959,225.166,225.166,6065.8,20,0,3866755,0,1.00000
manhattan-1000x384,current,0,17842176,darwin,distance_mixed,10000,5.283,0.500,0.542,0.584,1892983.2,0,0,2352831,0,NaN
manhattan-1000x384,current,0,17842176,darwin,build,1000,615.261,594.334,1076.000,1467.250,1625.3,397376,3596536,6093631,0,NaN
manhattan-1000x384,current,0,17842176,darwin,query,30,1.906,56.709,92.416,94.500,15740.8,30,0,5801391,0,1.00000
manhattan-1000x384,current,0,17842176,darwin,flush,1000,2.735,2734.625,2734.625,2734.625,365680.9,2199,1701482,7537656,1653839,NaN
manhattan-1000x384,current,0,17842176,darwin,load,1000,14.748,14747.584,14747.584,14747.584,67807.7,21259,3254154,10911245,1653839,NaN
manhattan-1000x384,current,0,17842176,darwin,query_reloaded,30,1.903,52.042,103.000,103.375,15764.9,30,0,10757394,0,1.00000
manhattan-1000x384,current,0,17842176,darwin,remove,199,620.027,2863.708,4809.542,7636.042,321.0,273088,-615872,7040654,0,NaN
manhattan-1000x384,current,0,17842176,darwin,query_deleted,30,1.763,50.208,85.584,91.709,17013.2,30,0,5171470,0,1.00000
manhattan-1000x384,current,0,17842176,darwin,reinsert,199,143.543,672.417,1288.417,1517.583,1386.3,77653,645088,6102054,0,NaN
manhattan-1000x384,current,0,17842176,darwin,query_reinserted,30,2.103,56.084,103.667,118.000,14268.2,30,0,5816558,0,1.00000
scale-100000x128,current,0,884424704,darwin,distance_mixed,10000,2.149,0.208,0.209,0.209,4652335.6,0,0,54605469,0,NaN
scale-100000x128,current,0,884424704,darwin,build,100000,516208.264,4662.625,8789.666,9967.542,193.7,41999746,326150544,383972877,0,NaN
scale-100000x128,current,0,884424704,darwin,query,50,148.176,2904.417,3483.209,3707.792,337.4,50,0,380921661,0,0.74000
scale-100000x128,current,0,884424704,darwin,flush,100000,188.240,188240.333,188240.333,188240.333,531235.8,216705,98900226,483213306,94080629,NaN
scale-100000x128,current,0,884424704,darwin,load,100000,1106.599,1106598.750,1106598.750,1106598.750,90367.0,2082331,266519034,756758941,94080629,NaN
scale-100000x128,current,0,884424704,darwin,query_reloaded,50,152.756,3013.084,3463.792,3693.625,327.3,50,0,746341306,0,0.74000
scale-100000x128,current,0,884424704,darwin,remove,19999,2472.523,78.667,358.833,703.291,8088.5,5621681,-60609824,381382126,0,NaN
scale-100000x128,current,0,884424704,darwin,query_deleted,50,129.101,2514.375,3201.625,3216.417,387.3,50,0,319032046,0,0.68000
scale-100000x128,current,0,884424704,darwin,reinsert,19999,144496.092,7125.375,9261.334,11341.458,138.4,7847425,59717896,380848238,0,NaN
scale-100000x128,current,0,884424704,darwin,query_reinserted,50,154.617,3094.917,3465.125,3693.000,323.4,50,0,378749942,0,0.64000
